missing-any: 3500  (words: 0 , sentences: 3500 )
켜지다 1 .새다 > 새나요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
은가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
.많다 -많은가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
ㄴ가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
•싸다 .크다 -큰가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
/ ~은가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
사용자의 재전송 의도 파악 중입니다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
라흐만(남): 가방 안에 있었는데 가방을 떨어뜨려서 그를 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
갈등[갈뚱 일시적[일씨적 출장[출짱] ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
플러그를 뽑다 : 꽃다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
9과 고장과 수리 12 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
윗글의 내용과 같으면 . ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
다르면 하세요 0 이런 문제가 처음 생겼다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
안녕 하세나/ 리포터! ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
호에1 사는 세입자입니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
정브터 2 상고 이 스니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
9과 고장과 수리 127 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
해석하고 수리 요청 편지 템플릿과 모범 답안을 구성했습니다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
홈문이 잠기다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
기출장 서비스를 신청하디 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
/ -은가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
/ -인가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
두 사람은 1년간 연애를 하다가 부부가 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
승기와 윤경은 원래 같은 회사의 직장 ( 되었다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
아주 다닐 때는 아주 친했는데 몇년동안 반가웠다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
0잘 지내는 저근제이 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가:제 딸은 성격이 )편이에요 무슨 일이든지 해 보려고 하고 사람들 앞에 서는 것도 좋아해요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나: 아, 죄송합니다 그럼 다른 걸로 교환해 트릴까 요2 가: 아니요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
( )주세요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가: 이번 달은 지난달에 비해 생활비가 너무 많이 들었어요 5. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
)에 들어갈 [1~5] <보기>와 같이 ( <보기> ) 음식은 불고기예요 0좋아한 0 좋아할 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
아나이스 씨가 제일 ( 0좋은 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
회사에 처음 들어왔을 때는 일이 조금 어려웠는데 지금은 적응되어서 ( ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
) 부모님께 혼난 적이 많아요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
어렸을때 내가 자꾸 동생을 ( ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나: 의사 선생님께서 약을 먹고 폭 ( )하셨어요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나: 이번 주말은 날씨가 좋다고 하니까 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
¥ 16~10] 다음 믿줄 친 부분과 의미가 비슷한 것을 고르세요 열심히 공부해서 한국 사람만큼 한국어를 잘하고 싶어요 6. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
○ 꿈도록 했어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
오잖아요 2 와야 돼요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
○ 오면 괜찮아요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나: 입어 보니까 바지가 너무 혈렁헤 가지고 환불하려고 해요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
@품일 수 있어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
0끓이고 있어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
* 1~1 밑줄 친 부분이 틀린 것을 고르세요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
서울은 살을 만한 도시예요 0 예방 접종 비용이 얼마인지 알아요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
아이가 놀이터에 가자고 해서 다녀왔어요 0 속이 안 좋아서 밥을 먹는 대신에 죽을 먹었어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
친구가 갑자기 약속 시간을 늦줬어요 0 복지 센터에 갔다가 근처 시장에서 장을 봐 왔어요 < 이링 씨의 바꾸는 전화번호를 몰라서 전화를 못 했어요 0 이번 달에 충동구매를 많이 해 가지고 용돈을 다 썼어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
분류했다: 유사 의미 찾기 문제와 오류 찾기 문제 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
① 서울은 살을 만한 도시예요 ❌ → 살 만한 ✅ ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
전화번호가 바뀌다 → 바뀐 전화번호 ✅ ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가을이 되니까 나무있이 모두 빨가겼어요 친해겼어요 0 친구와 자주 연락을 주고받고 헤서 빨리 @ 양이 너무 많아서 손님들이 음식을 많이 남겼어요 0 이링 씨가 오늘 유명한 가수의 공연을 보러 간다고 했어요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
엄마가 아기에게 밥을 먹여요 아기가 0 0잠시드 씨 때문어 사람들이 '웃어요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
잠시드 씨는 사람들을 보여프 0 후엔 씨가 창문 밖을 봐요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
창문 밖에 아름다운 경치가 0 밖이 너무 시끄러워요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
) 안에 알맞은 것을 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
다음( 고르세요 가: 이 가방을 지난주에 샀는데 다른 결로 바꿀 수 있을까요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
# 8~4] 다음을 읽고 질문에 답하세요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
💡 대화에서 손님이 "다른 걸로 바꾸고 싶다"고 했으므로 → 교환 ✅ ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
다음 글에 대한 설명으로 옳지 않은 것을 고르세요 마트와 병원이 멀어서 불편합니다 장을 보러 가려면 차로 30분 정도 나가야 하고 대중교통 저는 교통이 편리한 곳으로 이사를 가고 싶습니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
지금 살고 있는 곳이 마음에 들지만 생각입니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
수단을 이용할 수 없습니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
@ 지금 사는 곳은 대중교통 수단을 이용하기가 불편하다 ()나는 지금 사는 집의 전세 계약을 연장하려고 한다 0 나는 교통이 편리한 곳에서 살고 싶다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
두 개의 한국어 문제를 분석했다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
다양한 사람들과 상대하는 방법을 배우면서 우리들은 함께 일을 하고 사람을 정리하면 결국에는 외로워집 것이다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나와 다르다고 해서 쉽게 관계를 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
0살면서 관계 속에서 상처받을 때가 있다 0 요즘 사람들이 '인맥 다이어트'를 많이 한다 (9 사람 때문에 힘들 때도 있지만 그 과정 속에서 성장할 수 있다 나와 성격이나 마음이 안 맞는 사람이 있으면 만나지 않으면 된다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
한국에서 문화생활을 즐기는 것에 관심이 생겼다 0 나는 공연 티켓 예매를 직접 한 적이 있다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나는 극장에 가서 영화를 전혀 본 적이 없다 0 앞으로도 한국 생활이 바빠서 문화생활을 할 수 없을 것이다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나와 다르다고 해서 쉽게 관계를 사람을 정리하면 결국에는 외로워질 것이다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
💡 앞 문장: 인맥 다이어트가 유행이다 → 뒤 문장: 마음 맞는 사람만 만날 수는 없다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
💡 영화는 본 적 있지만 연극은 처음 → 이번이 처음이다 ✅ ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
[1~21 다음 그림을 보고 대화문을 만들어 옆 사람과 대화해 보세요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
상담 전문가와 상담받는 사림 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
월세 통신비 25%. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
구성했다 두 가지 대화 시나리오의 완전한 문장별 답변 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
우연히 다문화 세터에 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가: 이번 달 전기세가 지난달보다 5 원이나 나: 어떻게 그렇제 차이가 나지요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
계획했다: 대화 완성과 에세이 작성 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
<보기> )에 갑니다 9 시장 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
영화관에서는 휴대 전화의 ( ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
) 때문에 감기 환자가 갑자기 많아졌다고 합니다. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
0유지해서 0 정비해서 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
○ 빌어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
학업과 직장 생활을 ( ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
) 있어서 정신없이 바빠요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나는 얼마 전에 휴대 전화를 바꾸면서 다른 통신사에 ( ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
○가입했다 ○ 입력했다 ○ 접속했다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
#(8~10] 다음 밑줄 친 부분과 의미가 비슷한 것을 고르세요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
냉장고가 고장이 나서 수리하려고 서비스 0 삭제하려고 0 사용하려고 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
센터에 전화했어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
입사한 지 얼마 되지 않아서 아직 업무를 다 파악하지 못했습니다 0적응하지 0 완성하지 8이해하지 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
〈8–10〉 다음 밑줄 친 부분과 의미가 비슷한 것을 고르세요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
<보기> ) 공원에서 산책해요 보는데 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
피곤해 보여요 나: 어제 저녁에 커피를 ( )잡을 못 갔어요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
어제 너무 피곤해서 집에 ( ) 곧 잠이 들있거든요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가면 ○가다가 가야만 @'가자마자 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
나: 그렇지 않아도 지금 이링 씨에게 ( ). ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
가: 시간이 있을 때 보통 뭘 ( 나: 저는 영화를 보거나 친구를 만나요 )? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
0하나요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
분석했고 한국어 문법 문제 5개의 정답을 결정했다 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
[6~10] 다음 밑줄 친 부분과 의미가 비슷한 것을 고르세요 저는 아침에 일어나면 바로 6. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
세수를 해요 0 일어나면서 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
민수 씨는 성격이 활발하고 친절해요 요일어나 자마자 0활발해서 ○ 활발하면 ○ 활발하다가 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
ㅅ@활발한 데다기 8. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
주말이라 사람이 많을 것 같은데 빨리 예약하세요 0많으면 2 많아야 8 많을 텐더 0 많은 대신에 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
먹고 해서 2 먹을 만한더 0먹자고 하는데 ○먹으려던 참이었는데 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
부장님이 저에게 회의 자료를 준비하라고 시키셨어요 0 준비하면 돼요 0 준비할 수 있어요 요 준비하게 하셨어요 0 준비하는지 알아요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
@ 대학교 때부터 이 회사에 관심이 가지게 됐어요 8 회사 앞 식당은 음식도 맛없는 데다가 값도 비싸요 0 한국어가 유창해야 한국 회사에 취직할 수 있어요 ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
창문이 열어 있네요 0 시장에 사람이 많은가요? ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
한국에 도착했자마자 부모님께 전화했어요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
단어를 의원도 기억나지 않아요. ::  :: NEED[ne,bn,ru,he,ms,vi,id,si,pt,fr,ta]
